Timestamp,X,Y,Z
2025-04-24 13:19:15.539,0.0083770751953125,-0.9588623046875,-0.271636962890625
2025-04-24 13:19:16.566,0.0017242431640625,-0.9625701904296875,-0.2753753662109375
2025-04-24 13:19:17.582,0.000640869140625,-0.960845947265625,-0.2704620361328125
2025-04-24 13:19:18.584,0.00762939453125,-0.9597930908203125,-0.256622314453125
2025-04-24 13:19:20.655,0.0030059814453125,-0.9629974365234375,-0.27105712890625
2025-04-24 13:19:21.699,0.0001678466796875,-0.9632110595703125,-0.270111083984375
2025-04-24 13:19:22.764,0.0042724609375,-0.96173095703125,-0.2720794677734375
2025-04-24 13:19:34.161,-0.0143890380859375,-0.9646148681640625,-0.2667388916015625
2025-04-24 13:19:35.163,-0.0075531005859375,-0.9622650146484375,-0.2687835693359375
2025-04-24 13:19:37.237,-0.0057220458984375,-0.9608917236328125,-0.269866943359375
2025-04-24 13:19:38.276,-0.00494384765625,-0.962249755859375,-0.2681732177734375
2025-04-24 13:19:39.290,-0.0192108154296875,-0.9640960693359375,-0.26458740234375
2025-04-24 13:19:40.275,-0.0055389404296875,-0.9617919921875,-0.269012451171875
2025-04-24 13:19:41.377,-0.006866455078125,-0.96136474609375,-0.2678985595703125
2025-04-24 13:19:42.409,0.000823974609375,-0.9604034423828125,-0.2628021240234375
2025-04-24 13:19:43.444,-0.008331298828125,-0.9635467529296875,-0.2718658447265625
2025-04-24 13:19:44.505,-0.0067596435546875,-0.9618377685546875,-0.269683837890625
2025-04-24 13:19:45.511,-0.0077667236328125,-0.960845947265625,-0.2683563232421875
2025-04-24 13:19:46.530,-0.0083770751953125,-0.9633026123046875,-0.2687835693359375
2025-04-24 13:19:47.536,-0.0064544677734375,-0.961639404296875,-0.2702178955078125
2025-04-24 13:19:48.538,-0.00079345703125,-0.9603118896484375,-0.2698211669921875
2025-04-24 13:19:49.589,-0.00616455078125,-0.9635162353515625,-0.252716064453125
2025-04-24 13:19:50.608,-0.098358154296875,-0.198333740234375,-0.8695220947265625
2025-04-24 13:19:51.600,0.0064849853515625,-0.0217132568359375,-0.993316650390625
2025-04-24 13:19:52.612,0.019287109375,-0.020843505859375,-0.996612548828125
2025-04-24 13:19:53.645,0.002105712890625,-0.0260772705078125,-0.9979705810546875
2025-04-24 13:19:54.702,0.004119873046875,-0.0281219482421875,-0.9981842041015625
2025-04-24 13:19:55.764,-0.004364013671875,-0.032958984375,-0.993896484375
2025-04-24 13:19:56.782,0.0041961669921875,-0.0455169677734375,-0.996826171875
2025-04-24 13:19:57.830,0.0089111328125,-0.0241851806640625,-0.99920654296875
2025-04-24 13:19:58.845,0.0055999755859375,-0.0237274169921875,-0.9935455322265625
2025-04-24 13:19:59.859,0.0096282958984375,-0.02154541015625,-1.0016326904296875
2025-04-24 13:20:00.921,0.0061492919921875,-0.026153564453125,-0.99896240234375
2025-04-24 13:20:01.942,0.0103607177734375,-0.0210113525390625,-1.00457763671875
2025-04-24 13:20:02.994,0.006988525390625,-0.021697998046875,-0.9998779296875
2025-04-24 13:20:04.008,0.0029296875,-0.0221099853515625,-0.9925079345703125
2025-04-24 13:20:05.055,0.005767822265625,-0.0233001708984375,-0.99908447265625
2025-04-24 13:20:06.072,0.0091094970703125,-0.02630615234375,-0.9965972900390625
2025-04-24 13:20:07.104,0.0070037841796875,-0.0238494873046875,-0.9960784912109375
2025-04-24 13:20:08.108,0.006591796875,-0.0240631103515625,-0.995391845703125
2025-04-24 13:20:09.109,0.035186767578125,-0.057769775390625,-0.9956207275390625
2025-04-24 13:20:10.159,0.0218658447265625,-0.054473876953125,-0.9190826416015625
2025-04-24 13:20:11.162,0.0168304443359375,-0.0466461181640625,-0.99151611328125
2025-04-24 13:20:12.211,0.0147552490234375,-0.052032470703125,-0.9982452392578125
2025-04-24 13:20:13.224,0.016632080078125,-0.0492706298828125,-0.997711181640625
2025-04-24 13:20:14.245,0.0166015625,-0.051727294921875,-0.9928436279296875
2025-04-24 13:20:15.245,0.01507568359375,-0.0491790771484375,-0.9901123046875
2025-04-24 13:20:16.249,0.0137481689453125,-0.0479583740234375,-0.998931884765625
2025-04-24 13:20:17.282,0.01898193359375,-0.0545196533203125,-0.9742584228515625
2025-04-24 13:20:18.303,0.00921630859375,-0.0478515625,-1.0006866455078125
2025-04-24 13:20:19.274,0.012298583984375,-0.046478271484375,-0.995758056640625
2025-04-24 13:20:20.287,0.0141448974609375,-0.0486602783203125,-1.001220703125
2025-04-24 13:20:21.399,0.014404296875,-0.053741455078125,-1.0096588134765625
2025-04-24 13:20:22.403,0.01617431640625,-0.0461883544921875,-0.9954833984375
2025-04-24 13:20:23.421,0.014251708984375,-0.051666259765625,-0.994171142578125
2025-04-24 13:20:25.530,0.0086822509765625,-0.040496826171875,-1.0094451904296875
2025-04-24 13:20:26.548,0.0147552490234375,-0.047088623046875,-0.9986114501953125
2025-04-24 13:20:27.583,0.01806640625,-0.05224609375,-0.986114501953125
2025-04-24 13:20:28.601,0.01556396484375,-0.0488433837890625,-0.9979248046875
2025-04-24 13:20:29.658,0.0172271728515625,-0.0466156005859375,-0.997833251953125
2025-04-24 13:20:30.672,0.0126495361328125,-0.047332763671875,-0.9963836669921875
2025-04-24 13:20:31.701,0.0118408203125,-0.046844482421875,-1.01226806640625
2025-04-24 13:20:32.763,0.0141754150390625,-0.0488433837890625,-0.9915313720703125
2025-04-24 13:20:34.789,0.0135040283203125,-0.0467071533203125,-0.99951171875
2025-04-24 13:20:35.854,0.0194244384765625,-0.0458221435546875,-0.98828125
